,0
0,2535
1,1807
2,945
3,1653
4,1942
5,2417
6,2319
7,2730
8,2606
9,2704
10,2855
11,2777
12,2831
13,2293
14,2880
15,2835
16,1872
17,1730
18,1742
19,1902
20,1846
21,1910
22,2618
23,2629
24,2526
25,2265
26,2096
27,1983
28,2514
29,2768
30,2862
31,2448
32,2271
33,1872
34,1723
35,2942
36,1843
37,1899
38,2058
39,2523
40,2768
41,2737
42,1983
43,2271
44,2315
45,2585
46,3227
47,2613
48,2485
49,2099
50,2352
51,2321
52,3047
53,2814
54,2806
55,3130
56,3122
57,2108
58,1906
59,1881
60,1215
61,1695
62,2413
63,2223
64,1780
65,1968
66,2176
67,2743
68,2506
69,2850
70,2144
71,2792
72,2719
73,1591
74,2391
75,2849
76,3269
77,2330
78,1871
79,1745
80,1741
81,1280
82,2111
83,2538
84,2673
85,2641
86,2480
87,1953
88,2526
89,2667
90,1952
91,2240
92,2416
93,2626
94,2733
95,2183
96,3014
97,3450
98,3616
99,3669
100,3695
101,3360
102,2884
103,2811
104,1653
105,1515
106,1873
107,1041
108,641
109,475
110,368
111,935
112,938
113,1422
114,2134
115,2545
116,2921
117,3376
118,2672
119,2326
120,2651
121,2610
122,3017
123,2704
124,2698
125,2923
126,2854
127,2499
128,2496
129,2298
130,2498
131,2451
132,2161
133,2306
134,2477
135,2448
136,2336
137,2991
138,2624
139,1873
140,1246
141,1406
142,1840
143,2383
144,2569
145,2624
146,2707
147,2753
148,2472
149,2639
150,2597
151,2624
152,2365
153,2267
154,2658
155,2587
156,1231
157,1629
158,3001
159,2606
160,2641
161,2827
162,3024
163,2922
164,2722
165,2032
166,2263
167,2337
168,2191
169,2331
170,2225
171,2042
172,1984
173,2289
174,2157
175,2127
176,2383
177,2259
178,2849
179,2445
180,1925
181,1876
182,2046
183,2208
184,2341
185,2367
186,2612
187,2417
188,2593
189,2140
190,2215
191,2550
192,2576
193,2590
194,2797
195,2335
196,2132
197,2426
198,2293
199,2799
200,1919
201,1919
202,1937
203,2251
204,1907
205,2229
206,2150
207,2460
208,2414
209,2370
210,2482
211,2197
212,2496
213,2151
214,2262
215,2538
216,2727
217,2191
218,2495
219,3217
220,2847
221,2059
222,2114
223,2327
224,2451
225,2228
226,2146
227,1967
228,2301
229,2288
230,2418
231,2466
232,2247
233,2184
234,2288
235,2209
236,2158
237,2682
238,2713
239,2604
240,3030
241,1806
242,2145
243,2149
244,2083
245,1599
246,1824
247,2334
248,2177
249,2925
250,2914
251,2599
252,2624
253,2197
254,2384
255,2352
256,2512
257,2547
258,2496
259,2631
260,3139
261,2512
262,2107
263,2139
264,2045
265,2195
266,1898
267,1857
268,2115
269,1894
270,2054
271,2449
272,2778
273,2641
274,2726
275,2763
276,2451
277,2461
278,2512
279,2219
280,2798
281,3034
282,2064
283,1935
284,1855
285,1235
286,1745
287,1893
288,2279
289,2202
290,2207
291,2067
292,2352
293,2250
294,2293
295,2062
296,2577
297,2477
298,2832
299,2791
300,2874
301,3225
302,2826
303,2210
304,1771
305,2067
306,2379
307,2334
308,2254
309,2163
310,2086
311,2288
312,2512
313,2433
314,2537
315,2512
316,2314
317,2167
318,2313
319,2368
320,2329
321,2526
322,2707
323,1783
324,2071
325,2112
326,2290
327,2346
328,2405
329,2384
330,2365
331,2187
332,1891
333,2368
334,2304
335,2605
336,2430
337,2463
338,2219
339,1956
340,2303
341,2274
342,2987
343,2007
344,1727
345,1887
346,2192
347,1969
348,2201
349,2219
350,2672
351,2624
352,2346
353,2159
354,2883
355,2676
356,2483
357,2803
358,2285
359,2996
360,2546
361,2504
362,2880
363,2814
364,1478
365,2160
366,2058
367,2341
368,1927
369,1918
370,2201
371,2245
372,2427
373,2294
374,2474
375,2224
376,2531
377,2409
378,2508
379,2546
380,2464
381,2289
382,2619
383,3222
384,2256
385,1808
386,2043
387,2247
388,2143
389,2006
390,2608
391,2448
392,2144
393,2369
394,2386
395,2446
396,2704
397,2866
398,2742
399,2625
400,2172
401,2547
402,2157
403,2503
404,2864
405,2001
406,2041
407,2112
408,2190
409,2275
410,1849
411,2183
412,2535
413,2575
414,2535
415,2539
416,2513
417,2441
418,2101
419,2358
420,2445
421,2135
422,1915
423,2234
424,3014
425,2021
426,2082
427,1870
428,2069
429,2261
430,2089
431,2499
432,2634
433,2079
434,2075
435,2458
436,2526
437,2417
438,2702
439,2681
440,2295
441,2096
442,2183
443,2722
444,3164
445,2773
446,2117
447,1625
448,1439
449,1872
450,2123
451,2352
452,2213
453,2381
454,2640
